Ville,Région,Latitude,Longitude,min_lat,max_lat,min_lon,max_lon
Paris,Île-de-France,48.8566,2.3522,48.8155755,2.224122,48.902156,2.4697602
Lyon,Auvergne-Rhône-Alpes,45.764,4.8357,45.7073666,4.7718132,45.8082628,4.8984245
Marseille,Provence-Alpes-Côte d’Azur,43.2965,5.3698,43.1696228,5.2286312,43.3910329,5.5324758
Bordeaux,Nouvelle-Aquitaine,44.8378,-0.5792,44.8107826,-0.6386987,44.9161806,-0.5336838
Nice,Provence-Alpes-Côte d’Azur,43.7102,7.262,43.6454189,7.1819535,43.7607635,7.323912
Toulouse,Occitanie,43.6047,1.4442,43.5326969,1.3503311,43.6687119,1.5153356
Strasbourg,Grand Est,48.5734,7.7521,48.4919357,7.6881371,48.6461896,7.8360646
Nantes,Pays de la Loire,47.2184,-1.5536,47.1805856,-1.6418115,47.2958583,-1.4788443
Lille,Hauts-de-France,50.6292,3.0573,50.6008363,2.9679677,50.6612596,3.125725
Montpellier,Occitanie,43.6119,3.8772,43.5667083,3.8070597,43.653358,3.9413208
Annecy,Auvergne-Rhône-Alpes,45.8992,6.1294,45.8280024,6.0484121,45.9766928,6.2043932
Biarritz,Nouvelle-Aquitaine,43.4832,-1.5586,43.4475698,-1.5773906,43.4945381,-1.5343915
Cannes,Provence-Alpes-Côte d’Azur,43.5528,7.0174,43.4994248,6.9447513,43.574726,7.074185
Avignon,Provence-Alpes-Côte d’Azur,43.9493,4.8055,43.8873819,4.7396309,43.9967419,4.9271468
Reims,Grand Est,49.2583,4.0317,49.2039352,3.9858192,49.303187,4.1296955
Saint-Malo,Bretagne,48.6493,-2.0257,48.5979853,-2.0765246,48.6949736,-1.9367259
La Rochelle,Nouvelle-Aquitaine,46.1603,-1.1511,46.1331804,-1.2419231,46.1908971,-1.111097
Dijon,Bourgogne-Franche-Comté,47.322,5.0415,47.2862467,4.9624434,47.3774741,5.1020598
Colmar,Grand Est,48.0795,7.3585,48.0407053,7.3154803,48.182062,7.469167
Arles,Provence-Alpes-Côte d’Azur,43.6766,4.6278,43.3276716,4.4260793,43.7604071,4.8763523
